Wars,Year,Summary,Resource Link
Mau Mau Uprising,1952–1960,"The Mau Mau Uprising (1952–1960), also known as the Mau Mau Rebellion, the Kenya Emergency, and the Mau Mau Revolt, was a war in the British Kenya Colony (1920–1963) between the Kenya Land and Freedom Army (KLFA), also known as Mau Mau, and the British colonists.Dominated by the Kikuyu people, Meru people and Embu people, the KLFA also comprised units of Kamba and Maasai peoples who fought against the white European colonist-settlers in Kenya, the British Army, and the local Kenya Regiment (British colonists, local auxiliary militia, and pro–British Kikuyu people).The capture of rebel leader, Field Marshal Dedan Kimathi, on 21 October 1956, signalled the defeat of the Mau Mau, however, the rebellion survived until after Kenya's independence from Britain, driven mainly by the Meru units led by Field Marshal Musa Mwariama and General Baimungi. Baimuingi, one of the last Mau Mau generals, was killed shortly after Kenya attained self-rule.The KLFA failed to capture widespread public support, partly due to the British policy of divide and rule, and the Mau Mau movement remained internally divided, despite attempts to unify the factions. The British, meanwhile, applied the strategy and tactics they developed in suppressing the Malayan Emergency (1948–60). The Mau Mau Uprising created a rift between the European colonial community in Kenya and the metropole, and also resulted in violent divisions within the Kikuyu community. Suppressing the Mau Mau Uprising in the Kenyan colony cost Britain £55 million.",https://en.wikipedia.org/wiki/Mau_Mau_Uprising
Second Indochina War,1953–1975,"The Vietnam War (Vietnamese: Chiến tranh Việt Nam), also known as the Second Indochina War, and in Vietnam as the Resistance War Against America (Vietnamese: Kháng chiến chống Mỹ) or simply the American War, was an undeclared war in Vietnam, Laos, and Cambodia from 1 November 1955 to the fall of Saigon on 30 April 1975. It was the second of the Indochina Wars and was officially fought between North Vietnam and South Vietnam. North Vietnam was supported by the Soviet Union, China, and other communist allies; South Vietnam was supported by the United States, South Korea, the Philippines, Australia, Thailand and other anti-communist allies. The war is considered a Cold War-era proxy war from some US perspectives. It lasted some 19 years with direct U.S. involvement ending in 1973 following the Paris Peace Accords, and included the Laotian Civil War and the Cambodian Civil War, resulting in all three countries becoming communist states in 1975.
American military advisors began arriving in what was then French Indochina in 1950 to support the French in the First Indochina War against the communist-led Viet Minh. Most of the funding for the French war effort was provided by the U.S. After the French quit Indochina in 1954, the US assumed financial and military responsibility for the South Vietnamese state. The Việt Cộng, also known as Front national de libération du Sud-Viêt Nam or NLF (the National Liberation Front), a South Vietnamese communist common front aided by the North, initiated a 
guerrilla war against the South Vietnamese government in 1959. U.S. involvement escalated in 1960, and continued in 1961 under President John F. Kennedy, with troop levels gradually surging under the MAAG program from just under a thousand in 1959 to 16,000 in 1963.By 1964, there were 23,000 U.S. troops in Vietnam, but this escalated further following the 1964 Gulf of Tonkin incident, in which a U.S. destroyer was alleged to have clashed with North Vietnamese fast attack craft. In response, the Gulf of Tonkin Resolution gave President Lyndon B. Johnson broad authorization to increase U.S. military presence, deploying ground combat units for the first time and increasing troop levels to 184,000. Past this point, the People's Army of Vietnam (PAVN), also known as the North Vietnamese Army (NVA) engaged in more conventional warfare with US and South Vietnamese forces. Every year onward there was significant build-up of US forces despite little progress, with Robert McNamara, one of the principal architects of the war, beginning to express doubts of victory by the end of 1966. U.S. and South Vietnamese forces relied on air superiority and overwhelming firepower to conduct search and destroy operations, involving ground forces, artillery, and airstrikes. The U.S. conducted a large-scale strategic bombing campaign against North Vietnam. The Tet Offensive of 1968, proved to be the turning point of the war; despite years of American tutelage and aid the South Vietnamese forces were unable to withstand the communist offensive and the task fell to US forces instead. The Tet Offensive showed that the end of US involvement was not in sight, increasing domestic skepticism of the war. The unconventional and conventional capabilities of the Army of the Republic of Vietnam (ARVN) increased following a period of neglect and became modeled on heavy firepower-focused doctrines like US forces. Operations crossed international borders; bordering areas of Laos and Cambodia were used by North Vietnam as supply routes and were heavily bombed by U.S. forces.
Gradual withdrawal of U.S. ground forces began as part of ""Vietnamization"", which aimed to end American involvement in the war while transferring the task of fighting the communists to the South Vietnamese themselves and began the task of modernizing their armed forces. Direct U.S. military involvement ended on 15 August 1973 as a result of the Case–Church Amendment passed by the U.S. Congress. The capture of Saigon by the NVA in April 1975 marked the end of the war, and North and South Vietnam were reunified the following year. The war exacted a huge human cost in terms of fatalities (see Vietnam War casualties). Estimates of the number of Vietnamese soldiers and civilians killed vary from 966,000 to 3.8 million. Some 275,000–310,000 Cambodians, 20,000–62,000 Laotians, and 58,220 U.S. service members also died in the conflict, and a further 1,626 remain missing in action. The Sino-Soviet split re-emerged following the lull during the Vietnam War and confllict between North Vietnam and its Cambodian allies in the Royal Government of the National Union of Kampuchea, and the newly-formed Democratic Kampuchea begun almost immediately in a series of border raids by the Khmer Rouge and erupted into the Cambodian–Vietnamese War, with Chinese forces directly intervening in the Sino-Vietnamese War. The end of the war and resumption of the Third Indochina War would precipitate the Vietnamese boat people and the bigger Indochina refugee crisis, which saw an estimated 250,000 people perish at sea. Within the US the war gave rise to what was referred to as Vietnam Syndrome, a public aversion to American overseas military involvements, which together with Watergate contributed to the crisis of confidence that affected America throughout the 1970s.",https://en.wikipedia.org/wiki/Second_Indochina_War
First Taiwan Strait Crisis,1954–1955,"The First Taiwan Strait Crisis (also the Formosa Crisis, the 1954–1955 Taiwan Strait Crisis, the Offshore Islands Crisis, and the 1955 Taiwan Strait Crisis) was a brief armed conflict between the Communist People's Republic of China (PRC) and the Nationalist Republic of China (ROC) in Taiwan. The Taiwan strait crisis began when the PRC seized the Yijiangshan Islands and expelled the ROC to abandon the Tachen Islands, which were evacuated by the navies of the ROC and the US. Although physical control of the Tachen Islands changed hands during the crisis, American reportage focused exclusively on the Kinmen (Quemoy) and Matsu islands, sites of artillery duels between the Communists and the KMT Nationalists.
In 1949, after military defeat in the Chinese Civil War (1927–49), Chiang Kai-shek's Kuomintang (KMT) government and 1.3 million anti-communist Chinese supporters fled China, and relocated the nationalist KMT government to the island of Taiwan.  While Kuomintang Islamic insurgency in western and south-western China continued, the territory under jurisdiction of the KMT's Republic of China was reduced to Taiwan, Hainan the Pescadores Islands (Penghu), and several island groups along the south-east coast of China. In April 1950, the PRC captured Hainan, and the Nationalists then evacuated to Taiwan in May 1950, before the occurrence of the First Taiwan Strait Crisis.",https://en.wikipedia.org/wiki/First_Taiwan_Strait_Crisis
Algerian War,1954–1962,"The Algerian War, also known as the Algerian War of Independence or the Algerian Revolution (Arabic: الثورة الجزائرية‎ Al-thawra Al-Jazaa'iriyya; Berber languages: Tagrawla Tadzayrit; French: Guerre d'Algérie or Révolution algérienne) was fought between France and the Algerian National Liberation Front (French: Front de Libération Nationale – FLN) from 1954 to 1962, which led to Algeria gaining its independence from France. An important decolonization war, it was a complex conflict characterized by guerrilla warfare, maquis fighting, and the use of torture. The conflict also became a civil war between the different communities and within the communities. The war took place mainly on the territory of Algeria, with repercussions in metropolitan France.
Effectively started by members of the National Liberation Front (FLN) on November 1, 1954, during the Toussaint Rouge (""Red All Saints' Day""), the conflict led to serious political crises in France, causing the fall of the Fourth French Republic (1946–58) replaced by the Fifth Republic with a strengthened Presidency. The brutality of the methods employed by the French forces failed to win hearts and minds in Algeria, alienated support in metropolitan France and discredited French prestige abroad.After major demonstrations in Algiers and several other cities in favor of independence (1960) and a United Nations resolution recognizing the right to independence, De Gaulle decided to open a series of negotiations with the FLN. These concluded with the signing of the Évian Accords in March 1962. A referendum took place on 8 April 1962 and the French electorate approved the Évian Accords. The final result was 91% in favor of the ratification of this agreement and on 1 July, the Accords were subject to a second referendum in Algeria, where 99.72% voted for independence and just 0.28% against.The planned French withdrawal led to a state crisis. This included various assassination attempts on de Gaulle as well as some attempts at military coups. Most of the former were carried out by the Organisation armée secrète (OAS), an underground organization formed mainly from French military personnel supporting a French Algeria, which committed a large number of bombings and murders both in Algeria and in the homeland to stop the planned independence.
Upon independence in 1962, 900,000 European-Algerians (Pieds-noirs) fled to France within a few months in fear of the FLN's revenge. The French government was totally unprepared for the vast number of refugees, which caused turmoil in France. The majority of Algerian Muslims who had worked for the French were disarmed and left behind as the treaty between French and Algerian authorities declared that no actions could be taken against them. However, the Harkis in particular, having served as auxiliaries with the French army, were regarded as traitors and many were murdered by the FLN or by lynch-mobs, often after being abducted and tortured.  About 90,000 managed to flee to France, some with help from their French officers acting against orders, and as of 2016 they and their descendants form a significant part of the Algerian-French population.",https://en.wikipedia.org/wiki/Algerian_War
First Sudanese Civil War,1955–1972,"The First Sudanese Civil War (also known as the Anyanya Rebellion or Anyanya I, after the name of the rebels, a term in the Madi language which means 'snake venom') was a conflict from 1955 to 1972 between the northern part of Sudan and the southern Sudan region that demanded representation and more regional autonomy. Half a million people died over the 17 years of war, which may be divided into three stages: initial guerrilla war, Anyanya, and South Sudan Liberation Movement.
However, the agreement that ended the First Sudanese Civil War's fighting in 1972 failed to completely dispel the tensions that had originally caused it, leading to a reigniting of the north-south conflict during the Second Sudanese Civil War, which lasted from 1983 to 2005. The period between 1955 and 2005 is thus sometimes considered to be a single conflict with an eleven-year ceasefire that separates two violent phases.",https://en.wikipedia.org/wiki/First_Sudanese_Civil_War
Suez Crisis,1956–1957,"The Suez Crisis, or the Second Arab–Israeli War, also named the Tripartite Aggression in the Arab world (Arabic: العدوان الثلاثي‎) and Operation Kadesh or Sinai War in Israel, was an invasion of Egypt in late 1956 by Israel, followed by the United Kingdom and France. The aims were to regain Western control of the Suez Canal and to remove Egyptian President Gamal Abdel Nasser, who had just nationalized the canal. After the fighting had started, political pressure from the United States, the Soviet Union and the United Nations led to a withdrawal by the three invaders. The episode humiliated the United Kingdom and France and strengthened Nasser.On 29 October, Israel invaded the Egyptian Sinai. Britain and France issued a joint ultimatum to cease fire, which was ignored. On 5 November, Britain and France landed paratroopers along the Suez Canal. The Egyptian forces were defeated, but they did block the canal to all shipping. It later became clear that the Israeli invasion and the subsequent Anglo-French attack had been planned beforehand by the three countries.
The three allies had attained a number of their military objectives, but the canal was useless. Heavy political pressure from the United States and the USSR led to a withdrawal. U.S. President Dwight D. Eisenhower had strongly warned Britain not to invade; he threatened serious damage to the British financial system by selling the US government's pound sterling bonds. Historians conclude the crisis ""signified the end of Great Britain's role as one of the world's major powers"". The Suez Canal was closed from October 1956 until March 1957. Israel fulfilled some of its objectives, such as attaining freedom of navigation through the Straits of Tiran, which Egypt had blocked to Israeli shipping since 1950.As a result of the conflict, the United Nations created the UNEF Peacekeepers to police the Egyptian–Israeli border, British Prime Minister Anthony Eden resigned, Canadian Minister of External Affairs Lester Pearson won the Nobel Peace Prize, and the USSR may have been emboldened to invade Hungary.",https://en.wikipedia.org/wiki/Suez_Crisis
Second Taiwan Strait Crisis,1958,"The Second Taiwan Strait Crisis, also called the 1958 Taiwan Strait Crisis, was a conflict that took place between the People's Republic of China (PRC) and the Republic of China (ROC).  In this conflict, the PRC shelled the islands of Kinmen and the Matsu Islands along the east coast of mainland China (in the Taiwan Strait) to ""liberate"" Taiwan from the Chinese Nationalist Party, also known as the Kuomintang (KMT); and to probe the extent of the United States defense of Taiwan's territory.",https://en.wikipedia.org/wiki/Second_Taiwan_Strait_Crisis
1958 Lebanon crisis,1958,"The 1958 Lebanon crisis was a Lebanese political crisis caused by political and religious tensions in the country that included a U.S. military intervention. The intervention lasted for around three months until President Camille Chamoun, who had requested the assistance, completed his term as president of Lebanon. American and Lebanese government forces successfully occupied the port and international airport of Beirut. With the crisis over, the United States withdrew.",https://en.wikipedia.org/wiki/1958_Lebanon_crisis
1959 Tibetan uprising,1959–1962,"The 1959 Tibetan uprising or the 1959 Tibetan rebellion began on 10 March 1959, when a revolt erupted in Lhasa, the capital of the Tibet Autonomous Region, which had been under the effective control of the People's Republic of China since the Seventeen Point Agreement was reached in 1951. Armed conflict between Tibetan guerillas and the People's Liberation Army (PLA) had started in 1956 in the Kham and Amdo regions, which had been subjected to socialist reform. The guerrilla warfare later spread to other areas of Tibet and lasted through 1962.
The anniversary of the uprising is observed by Tibetan exiles as the ''Tibetan Uprising Day'' and Women's Uprising Day.  The anniversary of its end is officially celebrated in the Tibetan Autonomous Region as Serfs Emancipation Day.",https://en.wikipedia.org/wiki/1959_Tibetan_uprising
Central American crisis,1960–1996,"The Central American crisis began in the late 1970s, when major civil wars and communist revolutions erupted in various countries in Central America, resulting in it becoming the number one region among US's foreign policy hot spots in the 1980s. In particular, the United States feared that victory by communist forces would isolate the rest of South America from the United States if the countries of Central America were to be installed with pro-Soviet communist governments. Throughout the second half of the twentieth century, the United States often pursued its interests through puppet governments and the elite classes, who tended to ignore the demands of the peasant and working class.In the aftermath of the Second World War going into the 1960s and 1970s, Latin America's economic landscape changed drastically. The United Kingdom and the United States both held political and economic interests in Latin America, whose economy developed based on external dependence. Rather than solely relying on agricultural exportation, this new system promoted internal development and relied on regional common markets, banking capital, interest rates, taxes, and growing capital at the expense of labor and the peasant class. The Central American Crisis was, in part, a reaction by the lower classes of Latin American society to unjust land tenure, labor coercion, and unequal political representation. Landed property had taken hold of the economic and political landscape of the region, giving large corporations a lot of influence over the region and forcing formerly subsistent farmers and lower-class workers into very harsh living conditions.",https://en.wikipedia.org/wiki/Central_American_crisis
Congo Crisis,1960–1965,"The Congo Crisis (French: Crise congolaise), was a period of political upheaval and conflict in the Republic of the Congo (today the Democratic Republic of the Congo) between 1960 and 1965. The crisis began almost immediately after the Congo became independent from Belgium and ended, unofficially, with the entire country under the rule of Joseph-Désiré Mobutu. Constituting a series of civil wars, the Congo Crisis was also a proxy conflict in the Cold War, in which the Soviet Union and the United States supported opposing factions. Around 100,000 people are believed to have been killed during the crisis.
A nationalist movement in the Belgian Congo demanded the end of colonial rule: this led to the country's independence on 30 June 1960. Minimal preparations had been made and many issues, such as federalism, tribalism, and ethnic nationalism, remained unresolved. In the first week of July, a mutiny broke out in the army and violence erupted between black and white civilians. Belgium sent troops to protect fleeing whites. Katanga and South Kasai seceded with Belgian support. Amid continuing unrest and violence, the United Nations deployed peacekeepers, but UN Secretary-General Dag Hammarskjöld refused to use these troops to help the central government in Léopoldville fight the secessionists. Prime Minister Patrice Lumumba, the charismatic leader of the largest nationalist faction, reacted by calling for assistance from the Soviet Union, which promptly sent military advisors and other support.
The involvement of the Soviets split the Congolese government and led to an impasse between Lumumba and President Joseph Kasa-Vubu. Mobutu, in command of the army, broke this deadlock with a coup d'état, expelled the Soviet advisors and established a new government effectively under his own control. Lumumba was taken captive and subsequently executed in 1961. A rival government of the ""Free Republic of the Congo"" was founded in the eastern city of Stanleyville by Lumumba supporters led by Antoine Gizenga. It gained Soviet support but was crushed in early 1962. Meanwhile, the UN took a more aggressive stance towards the secessionists after Hammarskjöld was killed in a plane crash in late 1961. Supported by UN troops, Léopoldville defeated secessionist movements in Katanga and South Kasai by the start of 1963.
With Katanga and South Kasai back under the government's control, a reconciliatory compromise constitution was adopted and the exiled Katangese leader, Moïse Tshombe, was recalled to head an interim administration while fresh elections were organised. Before these could be held, however, Maoist-inspired militants calling themselves the ""Simbas"" rose up in the east of the country. The Simbas took control of a significant amount of territory and proclaimed a communist ""People's Republic of the Congo"" in Stanleyville. Government forces gradually retook territory and, in November 1964, Belgium and the United States intervened militarily in Stanleyville to recover hostages from Simba captivity. The Simbas were defeated and collapsed soon after. Following the elections in March 1965, a new political stalemate developed between Tshombe and Kasa-Vubu, forcing the government into near-paralysis. Mobutu mounted a second coup d'état in November 1965, now taking personal control. Under Mobutu's rule, the Congo (renamed Zaire in 1971) was transformed into a dictatorship which would endure until his deposition in 1997.",https://en.wikipedia.org/wiki/Congo_Crisis
Portuguese Colonial War,1960–1974,"The Portuguese Colonial War (Portuguese: Guerra Colonial Portuguesa), also known in Portugal as the Overseas War (Guerra do Ultramar) or in the former colonies as the War of Liberation (Guerra de Libertação), was fought between Portugal's military and the emerging nationalist movements in Portugal's African colonies between 1961 and 1974. The Portuguese regime was overthrown by a military coup in 1974, and the change in government brought the conflict to an end. The war was a decisive ideological struggle in Lusophone Africa, surrounding nations, and mainland Portugal.
The prevalent Portuguese and international historical approach considers the Portuguese Colonial War as was perceived at the time: a single conflict fought in three separate theaters of operations: Angola, Guinea-Bissau and Mozambique (sometimes including the 1961 Indian Annexation of Goa).
Unlike other European nations during the 1950s and 1960s, the Portuguese Estado Novo regime did not withdraw from its African colonies, or the overseas provinces (províncias ultramarinas) as those territories had been officially called since 1951. During the 1960s, various armed independence movements became active: the 
People's Movement for the Liberation of Angola, National Liberation Front of Angola, National Union for the Total Independence of Angola in Angola, African Party for the Independence of Guinea and Cape Verde in Portuguese Guinea, and the Mozambique Liberation Front in Mozambique. During the ensuing conflict, atrocities were committed by all forces involved.Throughout the period Portugal faced increasing dissent, arms embargoes and other punitive sanctions imposed by the international community. By 1973, the war had become increasingly unpopular due to its length and financial costs, the worsening of diplomatic relations with other United Nations members, and the role it had always played as a factor of perpetuation of the entrenched Estado Novo regime and the non-democratic status quo.
The end of the war came with the Carnation Revolution military coup of April 1974. The withdrawal resulted in the exodus of hundreds of thousands of Portuguese citizens plus military personnel of European, African and mixed ethnicity from the former Portuguese territories and newly independent African nations. This migration is regarded as one of the largest peaceful migrations in the world's history.The former colonies faced severe problems after independence. Devastating and violent civil wars followed in Angola and Mozambique, which lasted several decades, claimed millions of lives, and resulted in large numbers of displaced refugees. Economic and social recession, authoritarianism, lack of democracy and other elemental civil and political rights, corruption, poverty, inequality, and failed central planning eroded the initial revolutionary zeal. A level of social order and economic development comparable to what had existed under Portuguese rule, including during the period of the Colonial War, became the goal of the independent territories.The former Portuguese territories in Africa became sovereign states, with Agostinho Neto in Angola, Samora Machel in Mozambique, Luís Cabral in Guinea-Bissau, Manuel Pinto da Costa in São Tomé and Príncipe, and Aristides Pereira in Cape Verde as the heads of state.",https://en.wikipedia.org/wiki/Portuguese_Colonial_War
Xinjiang conflict,1960s–present,"The Xinjiang conflict is a conflict in China's far-west province of Xinjiang centred around the Uyghurs, a Turkic minority ethnic group who make up the largest group in the region.Factors such as the massive state-sponsored migration of Han Chinese from the 1950s to the 1970s, government policies promoting Chinese cultural unity and punishing certain expressions of Uyghur identity, and heavy-handed responses to separatist terrorism have contributed to tension between Uyghurs, and state police and Han Chinese. This has taken the form of both frequent terrorist attacks and wider public unrest (such as the July 2009 Ürümqi riots).
In recent years, government policy has been marked by mass surveillance, increased arrests, and a system of ""re-education camps"", estimated to hold hundreds of thousands of Uyghurs and members of other Muslim minority groups.",https://en.wikipedia.org/wiki/Xinjiang_conflict
First Iraqi–Kurdish War,1961–1970,"The First Iraqi–Kurdish War also known as Aylul revolts (Kurdish:  شۆڕشی ئەیلوول‎) was a major event of the Iraqi–Kurdish conflict, lasting from 1961 until 1970. The struggle was led by Mustafa Barzani, in an attempt to establish an autonomous Kurdish administration in northern Iraq. Throughout the 1960s, the uprising escalated into a long war, which failed to resolve despite internal power changes in Iraq. During the war, 80% of the Iraqi army was engaged in combat with the Kurds. The war ended with a Kurdish Victory in 1970, resulting in between 75,000 to 105,000 casualties. A series of Iraqi–Kurdish negotiations followed the war in an attempt to resolve the conflict. The negotiations led to the Iraqi–Kurdish Autonomy Agreement of 1970.",https://en.wikipedia.org/wiki/First_Iraqi%E2%80%93Kurdish_War
Eritrean War of Independence,1961–1974,"The Eritrean War of Independence was a conflict fought between the Ethiopian government and Eritrean separatists from September 1961 to May 1991.
Eritrea was claimed by the Ethiopian Empire from 1947 after Eritrea was liberated from Italy's occupation since 1890 (both countries were part of Italian East Africa during World War II). Ethiopia and some of the predominantly Christian part of Eritrea advocated for union with Ethiopia, while the predominantly Muslim and other areas of Eritrea wanted a separate Eritrean state. The United Nations General Assembly in an effort to satisfy both sides decided to federate Eritrea with Ethiopia in 1950, and Eritrea became a constituent state of the Federation of Ethiopia and Eritrea in 1952. Eritrea's declining autonomy and growing discontent with Ethiopian rule caused an independence movement led by the Eritrean Liberation Front (ELF) in 1961, leading Ethiopia to dissolve the federation and annex Eritrea the next year.
Following the Ethiopian Revolution in 1974, the Derg abolished the Ethiopian Empire and established a Marxist-Leninist communist state, bringing the Eritrean War of Independence into the Ethiopian Civil War and Cold War conflicts. The Derg enjoyed support from the Soviet Union, Cuba, and other Second World nations in fighting against Eritrean separatists supported by the United States and various other nations. 
The Eritrean People's Liberation Front (EPLF) became the main separatist group in 1977, expelling the ELF from Eritrea, then exploiting the Ogaden War to launch a war of attrition against Ethiopia. The Ethiopian government under the Workers Party of Ethiopia lost Soviet support at the end of the 1980s and were overwhelmed by Eritrean separatists and Ethiopian anti-government groups, allowing the EPLF to defeat Ethiopian forces in Eritrea in May 1991.The Ethiopian People's Revolutionary Democratic Front (EPRDF), with the help of the EPLF, defeated the People's Democratic Republic of Ethiopia (PDRE) when it took control of the capital Addis Ababa a month later. In April 1993, the Eritrean people voted almost unanimously in favour of independence in the Ethiopia-supported Eritrean independence referendum, with formal international recognition of an independent, sovereign Eritrea later the same year.",https://en.wikipedia.org/wiki/Eritrean_War_of_Independence
Ethiopia,1961–1974 and 1974–1991,"Ethiopia (; Amharic: ኢትዮጵያ, ʾĪtyōṗṗyā, listen , Tigrinya: ኢትዮጵያ, Oromo: Itoophiyaa, Somali: Itoobiya), officially the Federal Democratic Republic of Ethiopia (የኢትዮጵያ ፌዴራላዊ ዲሞክራሲያዊ ሪፐብሊክ, yeʾĪtiyoṗṗya Fēdēralawī Dēmokirasīyawī Rīpebilīk, listen ), is a country in the northeastern part of Africa, known as the Horn of Africa. It shares borders with Eritrea to the north, Djibouti to the northeast, Somaliland and Somalia to the east, Kenya to the south, South Sudan to the west and Sudan to the northwest. With over 102 million inhabitants, Ethiopia is the most populous landlocked country in the world and the second-most populous nation on the African continent with a total area of 1,100,000 square kilometres (420,000 sq mi). Its capital and largest city is Addis Ababa, which lies a few miles west of the East African Rift that splits the country into the Nubian and Somali tectonic plates.Some of the oldest skeletal evidence for anatomically modern humans has been found in Ethiopia. It is widely considered as the region from which modern humans first set out for the Middle East and places beyond. According to linguists, the first Afroasiatic-speaking populations settled in the Horn region during the ensuing Neolithic era. Tracing its roots to the 2nd millennium BCE, Ethiopia's governmental system was a monarchy for most of its history. Oral literature tells that the monarchy was founded by the Solomonic dynasty of the Queen of Sheba, under its first king, Menelik I. In the first centuries , the Kingdom of Aksum maintained a unified civilization in the region, followed by the Ethiopian Empire circa 1137. During the late 19th-century Scramble for Africa, Ethiopia was one of two nations to retain its sovereignty from long-term colonialism by a European colonial power. Many newly-independent nations on the continent subsequently adopted its flag colors. The country was occupied by Italy in 1936 and became Italian Ethiopia (part of the Italian East Africa) until it was liberated during World War II. Ethiopia was also the first independent member from Africa of the 20th-century League of Nations and the United Nations. In 1974, the Ethiopian monarchy under Haile Selassie was overthrown by the Derg, a communist military government backed by the Soviet Union. In 1987, the Derg established the People's Democratic Republic of Ethiopia, but it was overthrown in 1991 by the Ethiopian People's Revolutionary Democratic Front, which has been the ruling political coalition since.
Ethiopia and Eritrea use the ancient Ge'ez script, which is one of the oldest alphabets still in use in the world. The Ethiopian calendar, which is approximately seven years and three months behind the Gregorian calendar, co-exists alongside the Borana calendar. A majority of the population adheres to Christianity (mainly the Ethiopian Orthodox Tewahedo Church and P'ent'ay) and the historical Kingdom of Aksum was one of the first states to officially adopt the religion, whereas around a third follows Islam (primarily Sunni). The country is the site of the Migration to Abyssinia and the oldest Muslim settlement in Africa at Negash. A substantial population of Ethiopian Jews, known as Bete Israel, also resided in Ethiopia until the 1980s. Ethiopia is a multilingual nation with around 80 ethnolinguistic groups, the four largest of which are the Oromo, Amhara, Somali and Tigrayans. Most people in the country speak Afroasiatic languages of the Cushitic or Semitic branches. Additionally, Omotic languages are spoken by ethnic minority groups inhabiting the southern regions. Nilo-Saharan languages are also spoken by the nation's Nilotic ethnic minorities. Oromo is the most populous language by native speakers, while Amharic is the most populous by number of total speakers and serves as the working language in the federal government and as the lingua franca of the country. Ge'ez remains important as a liturgical language, both for the Ethiopian Orthodox Tewahedo Church, Eritrean Orthodox Tewahedo Church, and for the Beta Israel (Ethiopian Jews).
The nation is a land of natural contrasts, with its vast fertile west, its forests, and numerous rivers, and the world's hottest settlement of Dallol in its north. The Ethiopian Highlands are the largest continuous mountain ranges in Africa, and the Sof Omar Caves contains the largest cave on the continent. Ethiopia also has the most UNESCO World Heritage Sites in Africa. Additionally, the sovereign state is a founding member of the UN, the Group of 24 (G-24), the Non-Aligned Movement, G-77 and the Organisation of African Unity. Its capital city Addis Ababa serves as the headquarters of the African Union, the Pan African Chamber of Commerce and Industry, the United Nations Economic Commission for Africa, the African Standby Force, and many of the global NGOs focused on Africa. In the 1970s and 1980s, Ethiopia experienced civil conflicts and communist purges, which hindered its economy. The country has since recovered and now has the largest economy (by GDP) in East Africa, having the largest population in the region.",https://en.wikipedia.org/wiki/Ethiopia
North Yemen Civil War,1962–1970,"The North Yemen Civil War (Arabic: ثورة 26 سبتمبر‎, Thawra 26 Sabtambar, ""26 September Revolution"") was fought in North Yemen from 1962 to 1970 between royalist partisans of the Mutawakkilite Kingdom and supporters of the Yemen Arab Republic. The war began with a coup d'état carried out in 1962 by revolutionary republicans led by the army under the command of Abdullah as-Sallal, who dethroned the newly crowned Imam Muhammad al-Badr and declared Yemen a republic under his presidency. The Imam escaped to the Saudi Arabian border where he rallied popular support from northern Shia tribes to retake power, escalating shortly to a full-scale civil war.
On the royalist side Jordan and Saudi Arabia supplied military aid, and Britain gave covert support, while the republicans were supported by Egypt and were supplied warplanes from the Soviet Union. Both foreign irregular and conventional forces were involved. Egyptian President Gamal Abdel Nasser supported the republicans with as many as 70,000 Egyptian troops and  weapons. Despite several military  actions and peace conferences, the war sank into a stalemate by the mid-1960s.
Egypt's commitment to the war is considered to have been detrimental to its performance in the Six-Day War of June 1967, after which Nasser found it increasingly difficult to maintain his army's involvement and began to pull his forces out of Yemen. The surprising removal of Sallal on November 5 by Yemeni dissidents, supported by republican tribesmen, resulted in an internal shift of power in the capital, while the royalists approached it from the north. The new republic government was headed by Qadi Abdul Rahman Iryani, Ahmed Noman and Mohamed Ali Uthman, all of which shortly either resigned or fled the country, leaving the disarrayed capital under the control of Prime Minister Hassan Amri. The 1967 siege of Sana'a became the turning point of the war. The remaining republican Prime Minister succeeded in keeping control of Sana'a and by February 1968, the royalists lifted the siege. Clashes continued in parallel with peace talks until 1970, when Saudi Arabia recognized the Republic, and a ceasefire came into effect.Egyptian military historians refer to the war in Yemen as their Vietnam. Historian Michael Oren (former Israeli Ambassador to the U.S) wrote that Egypt's military adventure in Yemen was so disastrous that ""the imminent Vietnam War could easily have been dubbed America's Yemen.""",https://en.wikipedia.org/wiki/North_Yemen_Civil_War
Dhofar Rebellion,1962–1976,"The Dhofar Rebellion (Arabic: ثورة ظفار‎), also known as the War in Dhofar (Arabic: الحرب في ظفار‎) or the Omani Civil War (Arabic: الحرب الأهلية العمانية‎), was waged from 1962 to 1976 in the province of Dhofar against the Sultanate of Muscat and Oman, which had British support. It ended with the defeat of the rebels.",https://en.wikipedia.org/wiki/Dhofar_Rebellion
